ID,score_tag,agreement,subjectivity,confidence,irony,Happy,Fear,Sad,Bored,Angry,Excited,Class
1317,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1457465205,0.1437515747,0.0998296156,0.0380019543,0.3423340671,0.2303362678,0
1318,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.1255458562,0.2016881114,0.1977207209,0.1096775265,0.2105116478,0.1548561372,0
1319,P+,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.0745346575,0.1055821056,0.1342231378,0.2017085097,0.4195096462,0.0644419432,0
1320,N,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.098903039,0.1247592726,0.089019268,0.1042360413,0.3511697285,0.2319126506,1
1321,N,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.0489254766,0.043449638,0.1165319009,0.2536109164,0.491753371,0.0457286972,0
1322,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.2675749008,0.1599052978,0.0547441456,0.0,0.2282845025,0.2894911533,1
1323,N,AGREEMENT,SUBJECTIVE,98,NONIRONIC,0.023497819,0.2290131013,0.2544349199,0.0401866319,0.4037472277,0.0491203003,0
1324,P+,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.0360327323,0.2107116863,0.1851090036,0.3232232469,0.103806255,0.1411170758,0
1325,P,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.1879742937,0.0575612857,0.0563078311,0.0644780845,0.4527025628,0.1809759422,1
1326,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.0926193625,0.134518973,0.1552374121,0.0468216632,0.4030588258,0.1677437634,0
1327,NEU,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.1019248475,0.1849363019,0.128583619,0.1701217426,0.2572853758,0.1571481132,1
1328,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.1382977018,0.176579868,0.1373679261,0.1549208571,0.2383099688,0.1545236781,1
1329,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1462482076,0.1341339448,0.1377091108,0.0555361738,0.252320178,0.274052385,0
1330,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.0467908348,0.0895814535,0.1413430666,0.1346069931,0.5263179429,0.061359709,0
1331,NEU,DISAGREEMENT,OBJECTIVE,86,NONIRONIC,0.0702822744,0.1105408511,0.1194179423,0.0736839568,0.538190226,0.0878847493,1
1332,NONE,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.078197007,0.4494394143,0.2343382347,0.0187271747,0.0706403728,0.1486577966,0
1333,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0389288395,0.2005650651,0.2237686633,0.216680581,0.1378834085,0.1821734427,0
1334,P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.0350347317,0.249851698,0.2193795907,0.0876152524,0.3027803008,0.1053384263,0
1335,P+,AGREEMENT,SUBJECTIVE,98,NONIRONIC,0.190807662,0.1971851863,0.1185732895,0.0887920966,0.2443792355,0.16026253,1
1336,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.0851678378,0.2886952987,0.3048375191,0.0601328784,0.1809947184,0.0801717476,0
1337,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.0467267609,0.1767751339,0.1799148524,0.0692505224,0.4336380812,0.0936946493,1
1338,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.031335414,0.0886296586,0.1127843528,0.0219187204,0.6397674543,0.1055643999,0
1339,P+,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.1629298922,0.1932311946,0.1319959168,0.0501397836,0.3179566497,0.1437465631,0
