ID,score_tag,agreement,subjectivity,confidence,irony,Happy,Fear,Sad,Bored,Angry,Excited,Class
124,P,DISAGREEMENT,OBJECTIVE,92,NONIRONIC,0.1839160074,0.2416585172,0.1053074156,0.0777212039,0.1959099085,0.1954869475,0
125,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.0309425878,0.2280505797,0.1786643122,0.0407394746,0.4804786794,0.0411243662,0
126,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.1555625502,0.33951137,0.2534251147,0.0319059583,0.0882711099,0.1313238969,0
127,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1824299563,0.1750388506,0.1879561514,0.0,0.3002029215,0.1543721203,0
128,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.108433853,0.1563735674,0.1985249682,0.1283155951,0.2577294733,0.150622543,0
129,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0533803032,0.1645634779,0.2468359028,0.132161948,0.3357779621,0.0672804061,0
130,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.2052804966,0.1469311679,0.0643501726,0.0325031739,0.0573294186,0.4936055704,0
131,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.0782613567,0.1828019046,0.1754560102,0.0850279765,0.3924630544,0.0859896976,0
132,N,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.0904907948,0.13124823,0.1293423519,0.0735942268,0.4213703648,0.1539540316,0
133,N+,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.0492461707,0.2683754799,0.2253701119,0.0907507412,0.3024202458,0.0638372504,0
134,P,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.0963365995,0.1816950245,0.1456503002,0.2157199947,0.2341381588,0.1264599222,0
135,P,DISAGREEMENT,OBJECTIVE,91,NONIRONIC,0.0725375903,0.1839283587,0.2218811115,0.138951964,0.249269643,0.1334313325,0
136,P+,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.1071553774,0.1318196507,0.1913041733,0.1369843999,0.3347209882,0.0980154106,0
137,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0963879464,0.2415728626,0.175088777,0.0647067986,0.3014408979,0.1208027176,0
138,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1364067433,0.2453628693,0.177960999,0.0809992244,0.1663021195,0.1929680445,0
139,P,AGREEMENT,OBJECTIVE,97,NONIRONIC,0.3285357972,0.1270162655,0.0201483136,0.0102488606,0.070025204,0.4440255592,0
140,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0318533579,0.2491366667,0.2060312357,0.0411563526,0.3986730598,0.0731493272,0
141,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.036625598,0.1453040215,0.1614093766,0.0698921701,0.4769951044,0.1097737295,0
142,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.0387997988,0.1764377757,0.2106001469,0.0933003909,0.405142391,0.0757194968,0
143,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.089398405,0.1512399099,0.1945368056,0.1256782283,0.3346718537,0.1044747975,0
144,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.1310614997,0.2068697282,0.1830087834,0.0842222448,0.2471469276,0.1476908164,0
145,N,AGREEMENT,OBJECTIVE,97,NONIRONIC,0.134209709,0.2342063171,0.1350540733,0.036968542,0.2771717526,0.1823896059,0
146,N,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.1746342754,0.1680888803,0.1168366723,0.1268423052,0.3048067979,0.1087910689,0
147,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.0633830573,0.1515672624,0.1179482678,0.0420262818,0.5319493995,0.0931257312,0
148,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.0612381835,0.1954962602,0.1691740292,0.1957389112,0.3006625689,0.077690047,0
149,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1537277442,0.2347470665,0.1180119021,0.066517333,0.1015282465,0.3254677077,0
150,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.0380498729,0.1112139554,0.158292453,0.0787670991,0.5385538651,0.0751227546,0
151,P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.1406133574,0.0785793825,0.0819056401,0.0378775002,0.5338945292,0.1271295905,0
152,N+,AGREEMENT,SUBJECTIVE,98,NONIRONIC,0.0257869479,0.1257212525,0.1917910574,0.3574330708,0.25347345,0.0457942214,0
153,NEU,DISAGREEMENT,OBJECTIVE,86,NONIRONIC,0.0658961835,0.1149612387,0.1073062475,0.2082588402,0.4272800814,0.0762974088,0
154,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.3015013913,0.2014638945,0.0978934389,0.058365355,0.1333189588,0.2074569615,0
155,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.0725378941,0.1194050774,0.1088781501,0.0604015972,0.5202052271,0.1185720541,0
156,P+,AGREEMENT,SUBJECTIVE,98,NONIRONIC,0.2104854928,0.1217306825,0.090651963,0.0987710979,0.2981503707,0.180210393,0
157,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.3712965698,0.1226700829,0.1377089827,0.0,0.0950970613,0.2732273033,0
158,N,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.0640012523,0.174190706,0.2045388347,0.200709728,0.2622223223,0.0943371567,0
159,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.0322687007,0.1457753234,0.156006671,0.0366656491,0.5756378088,0.0536458469,0
160,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.0285368717,0.0990096472,0.1522239625,0.0995634609,0.5927989972,0.0278670604,0
161,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.174651685,0.0819590266,0.0493074433,0.058090768,0.3081976,0.3277934772,0
162,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.2658434621,0.2163021017,0.1193152012,0.048925577,0.077293881,0.2723197771,0
163,N,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.1325439327,0.12084665,0.1049051668,0.0409653459,0.2262365199,0.3745023848,0
164,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1109875438,0.1678735433,0.1908532511,0.1473039614,0.2595397059,0.1234419945,0
165,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.1480170981,0.3003789701,0.0980473957,0.1270366987,0.1055332686,0.2209865688,0
166,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.0510111338,0.2179831142,0.241003756,0.1770322576,0.1898819653,0.1230877731,0
167,NEU,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.31525595,0.1801240129,0.0533952641,0.0330989066,0.1489580516,0.2691678148,0
168,N+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.1848515556,0.2141008849,0.1956146466,0.0580494936,0.1158099043,0.2315735151,0
169,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.0739985206,0.2617270446,0.3672463731,0.0445529236,0.173271502,0.0792036361,0
170,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.1714689736,0.2321615258,0.1528457967,0.0534920375,0.2382485152,0.1517831512,0
171,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1424928598,0.1841578212,0.1405510038,0.09175668,0.1468607826,0.2941808525,0
172,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.0272971889,0.1310724933,0.138976319,0.1996314524,0.4188842047,0.0841383417,0
173,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.2319923916,0.1641998959,0.0985022327,0.0515009104,0.1349434793,0.3188610901,0
174,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.3026781161,0.0884207316,0.065738302,0.0928264642,0.1610830169,0.2892533692,0
175,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1590333923,0.1513832688,0.1581703535,0.0540903504,0.2609789635,0.2163436715,0
176,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0375670951,0.1174174847,0.1464821619,0.4087141781,0.2191060943,0.0707129859,0
177,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0721589261,0.2551932996,0.3286439956,0.0496842812,0.1751769667,0.119142531,0
178,P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.1254109138,0.3046777822,0.2736487827,0.029899704,0.0829046049,0.1834582123,0
179,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.0702739777,0.1915186238,0.2570677522,0.1930411075,0.16040511,0.1276934288,0
180,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.0843608331,0.1445750879,0.1935551016,0.0716953599,0.3856560516,0.1201575659,0
